geoid,state,county,borough,tract,name,population,commuters,median_income,area_sqkm,pop_density,commuter_ratio,centroid_lat,centroid_lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon
360050381005,36,000,Unknown,038100,Block Group 5,0,0,0,0.022143,0.0,0.0,40.851959,-73.901856,40.85077700020233,-73.90278999997996,40.853141999739876,-73.90092299988395
360050381006,36,000,Unknown,038100,Block Group 6,0,0,0,0.053966,0.0,0.0,40.849954,-73.901987,40.84810900005507,-73.90328100024963,40.85179900005998,-73.90069399955509
36005038200,36,005,Bronx,038200,Census Tract 382; Bronx County; New York,2879,1101,73077,0.0,0.0,0.3824,,,,,,
360050382001,36,000,Unknown,038200,Block Group 1,0,0,0,0.081367,0.0,0.0,40.877569,-73.856745,40.87618300028747,-73.85975200038206,40.878954000313314,-73.85373799964214
360050382002,36,000,Unknown,038200,Block Group 2,0,0,0,0.075711,0.0,0.0,40.877309,-73.852567,40.875153999987134,-73.85444599964677,40.879463000230956,-73.85068899988853
36005038301,36,005,Bronx,038301,Census Tract 383.01; Bronx County; New York,4970,2372,47394,0.0,0.0,0.4773,,,,,,
360050383011,36,000,Unknown,038301,Block Group 1,0,0,0,0.029288,0.0,0.0,40.856392,-73.899476,40.85536400028595,-73.90077899994391,40.85741999979758,-73.89817200005616
360050383012,36,000,Unknown,038301,Block Group 2,0,0,0,0.030914,0.0,0.0,40.856954,-73.897569,40.85514600023863,-73.89877600030377,40.85876299967589,-73.89636299968647
360050383013,36,000,Unknown,038301,Block Group 3,0,0,0,0.034518,0.0,0.0,40.858058,-73.898653,40.856812000133516,-73.8999489997405,40.85930499966077,-73.8973579997463
36005038303,36,005,Bronx,038303,Census Tract 383.03; Bronx County; New York,3730,1307,26837,0.0,0.0,0.3504,,,,,,
360050383031,36,000,Unknown,038303,Block Group 1,0,0,0,0.038304,0.0,0.0,40.855484,-73.896949,40.85390699981595,-73.89863499983846,40.85706100005716,-73.89526300004466
360050383032,36,000,Unknown,038303,Block Group 2,0,0,0,0.037954,0.0,0.0,40.857878,-73.895557,40.85632999971755,-73.89730699969269,40.859426000163744,-73.89380799967728
36005038304,36,005,Bronx,038304,Census Tract 383.04; Bronx County; New York,2138,525,20625,0.0,0.0,0.2456,,,,,,
360050383041,36,000,Unknown,038304,Block Group 1,0,0,0,0.069344,0.0,0.0,40.858102,-73.893663,40.85457100015074,-73.89643999967936,40.86163399971512,-73.8908869999702
36005038500,36,005,Bronx,038500,Census Tract 385; Bronx County; New York,5401,1288,24605,0.0,0.0,0.2385,,,,,,
360050385001,36,000,Unknown,038500,Block Group 1,0,0,0,0.062921,0.0,0.0,40.858724,-73.891995,40.85610399966529,-73.89355199958423,40.86134500016183,-73.89043800043163
360050385002,36,000,Unknown,038500,Block Group 2,0,0,0,0.030502,0.0,0.0,40.856815,-73.893449,40.85524399999339,-73.89477599997294,40.85838599982267,-73.89212100040463
360050385003,36,000,Unknown,038500,Block Group 3,0,0,0,0.033964,0.0,0.0,40.855357,-73.891762,40.85411699983711,-73.89313599965763,40.8565979999588,-73.89038900002782
360050385004,36,000,Unknown,038500,Block Group 4,0,0,0,0.061447,0.0,0.0,40.85435,-73.893255,40.85277000012143,-73.89560899965107,40.8559300003323,-73.8909020000388
36005038600,36,005,Bronx,038600,Census Tract 386; Bronx County; New York,8233,3044,62340,0.0,0.0,0.3697,,,,,,
360050386001,36,000,Unknown,038600,Block Group 1,0,0,0,0.083498,0.0,0.0,40.881999,-73.846999,40.87975600000578,-73.84973499983657,40.884242000149506,-73.84426300031826
360050386002,36,000,Unknown,038600,Block Group 2,0,0,0,0.09186,0.0,0.0,40.879237,-73.845994,40.877034999798624,-73.84874800017265,40.88143900027887,-73.84324099959593
360050386003,36,000,Unknown,038600,Block Group 3,0,0,0,0.024455,0.0,0.0,40.87669,-73.851216,40.87548699996342,-73.85254799958862,40.877893000134954,-73.8498839997995
360050386004,36,000,Unknown,038600,Block Group 4,0,0,0,0.06104,0.0,0.0,40.879407,-73.849778,40.877893000134954,-73.85186499969831,40.88092099998182,-73.84769200001345
360050386005,36,000,Unknown,038600,Block Group 5,0,0,0,0.062862,0.0,0.0,40.881307,-73.850441,40.879059000095005,-73.85248300018961,40.883554999941346,-73.84839900019318
360050386006,36,000,Unknown,038600,Block Group 6,0,0,0,0.024332,0.0,0.0,40.87811,-73.847489,40.87673299968305,-73.84861099990532,40.87948799974312,-73.84636800006565
360050386007,36,000,Unknown,038600,Block Group 7,0,0,0,0.03894,0.0,0.0,40.877245,-73.849542,40.8758749999341,-73.85091900004228,40.878614000136146,-73.84816599966636
360050386008,36,000,Unknown,038600,Block Group 8,0,0,0,0.022076,0.0,0.0,40.877746,-73.848379,40.87645200018237,-73.84946000037529,40.87903900008474,-73.84729799982816
36005038700,36,005,Bronx,038700,Census Tract 387; Bronx County; New York,3707,1440,42174,0.0,0.0,0.3885,,,,,,
360050387001,36,000,Unknown,038700,Block Group 1,0,0,0,0.107266,0.0,0.0,40.858959,-73.888579,40.85679800031466,-73.89116700035268,40.86111900023431,-73.88599100021204
360050387002,36,000,Unknown,038700,Block Group 2,0,0,0,0.037884,0.0,0.0,40.855824,-73.889778,40.85422100010583,-73.8911060002533,40.857426999981406,-73.88844900013687
360050387003,36,000,Unknown,038700,Block Group 3,0,0,0,0.036242,0.0,0.0,40.857312,-73.888396,40.85602399970852,-73.88991799984963,40.85860000033604,-73.88687300029399
36005038800,36,005,Bronx,038800,Census Tract 388; Bronx County; New York,2967,1248,63341,0.0,0.0,0.4206,,,,,,
360050388001,36,000,Unknown,038800,Block Group 1,0,0,0,0.07251,0.0,0.0,40.879205,-73.854055,40.87746200001746,-73.85607799956615,40.880947000069725,-73.85203299992781
360050388002,36,000,Unknown,038800,Block Group 2,0,0,0,0.076063,0.0,0.0,40.879978,-73.856577,40.8782110000616,-73.85859999996337,40.88174499968242,-73.85455399960182
36005038900,36,005,Bronx,038900,Census Tract 389; Bronx County; New York,5440,2216,42574,0.0,0.0,0.4074,,,,,,
360050389001,36,000,Unknown,038900,Block Group 1,0,0,0,0.048202,0.0,0.0,40.856528,-73.883632,40.855056999732604,-73.88543299999523,40.857999000075495,-73.88183000022275
360050389002,36,000,Unknown,038900,Block Group 2,0,0,0,0.027361,0.0,0.0,40.856495,-73.885198,40.854870000302924,-73.88687300029399,40.858120000246394,-73.88352200041659
360050389003,36,000,Unknown,038900,Block Group 3,0,0,0,0.059273,0.0,0.0,40.857004,-73.886428,40.85520200021331,-73.88844900013687,40.858806000018404,-73.88440799979817
360050389004,36,000,Unknown,038900,Block Group 4,0,0,0,0.017698,0.0,0.0,40.855073,-73.88349,40.85390900016878,-73.88446100039992,40.856237000237364,-73.88251899996084
360050389005,36,000,Unknown,038900,Block Group 5,0,0,0,0.017711,0.0,0.0,40.854956,-73.885094,40.854151999775866,-73.88618600020573,40.85575900030832,-73.8840019999173
36005039000,36,005,Bronx,039000,Census Tract 390; Bronx County; New York,2953,1254,59758,0.0,0.0,0.4247,,,,,,
360050390001,36,000,Unknown,039000,Block Group 1,0,0,0,0.088985,0.0,0.0,40.88081,-73.859268,40.878954000313314,-73.8614799996626,40.88266499975586,-73.85705599990756
360050390002,36,000,Unknown,039000,Block Group 2,0,0,0,0.092557,0.0,0.0,40.881696,-73.862203,40.879818000297206,-73.86446599966699,40.88357400021697,-73.85994099962963
36005039100,36,005,Bronx,039100,Census Tract 391; Bronx County; New York,7187,3457,31769,0.0,0.0,0.481,,,,,,
360050391001,36,000,Unknown,039100,Block Group 1,0,0,0,0.03435,0.0,0.0,40.85223,-73.885573,40.850308999880255,-73.88751799965114,40.854151999775866,-73.88362799982349
360050391002,36,000,Unknown,039100,Block Group 2,0,0,0,0.05699,0.0,0.0,40.852723,-73.886247,40.85094899971656,-73.88803200038535,40.85449800019497,-73.88446100039992
