geoid,name,county,tract,population,commuters,median_income
36061019701,Census Tract 197.01; New York County; New York,061,019701,958,508,49336
36061019702,Census Tract 197.02; New York County; New York,061,019702,2901,1571,97981
36061019800,Census Tract 198; New York County; New York,061,019800,2684,1332,96771
36061019900,Census Tract 199; New York County; New York,061,019900,9017,3943,95313
36061020000,Census Tract 200; New York County; New York,061,020000,3123,1533,70150
36061020101,Census Tract 201.01; New York County; New York,061,020101,1858,891,151667
36061020102,Census Tract 201.02; New York County; New York,061,020102,4028,1944,75721
36061020300,Census Tract 203; New York County; New York,061,020300,3933,1593,63819
36061020500,Census Tract 205; New York County; New York,061,020500,5650,2874,209667
36061020600,Census Tract 206; New York County; New York,061,020600,3839,1684,48161
36061020701,Census Tract 207.01; New York County; New York,061,020701,2858,1474,69800
36061020800,Census Tract 208; New York County; New York,061,020800,5713,3031,92132
36061020901,Census Tract 209.01; New York County; New York,061,020901,3388,1071,22743
36061021000,Census Tract 210; New York County; New York,061,021000,7038,2427,40164
36061021100,Census Tract 211; New York County; New York,061,021100,10110,5332,75954
36061021200,Census Tract 212; New York County; New York,061,021200,4270,1870,77230
36061021303,Census Tract 213.03; New York County; New York,061,021303,6539,2739,59413
36061021400,Census Tract 214; New York County; New York,061,021400,3037,1817,67083
36061021500,Census Tract 215; New York County; New York,061,021500,4193,2179,67206
36061021600,Census Tract 216; New York County; New York,061,021600,9294,4718,59784
36061021703,Census Tract 217.03; New York County; New York,061,021703,85,34,0
36061021800,Census Tract 218; New York County; New York,061,021800,5756,3138,42500
36061021900,Census Tract 219; New York County; New York,061,021900,6147,1782,22207
36061022000,Census Tract 220; New York County; New York,061,022000,6369,4089,89756
36061022102,Census Tract 221.02; New York County; New York,061,022102,2645,1606,92375
36061022200,Census Tract 222; New York County; New York,061,022200,3350,1491,56705
36061022301,Census Tract 223.01; New York County; New York,061,022301,7680,4011,53900
36061022302,Census Tract 223.02; New York County; New York,061,022302,3036,1335,34167
36061022400,Census Tract 224; New York County; New York,061,022400,7517,2470,30667
36061022500,Census Tract 225; New York County; New York,061,022500,10647,5632,62782
36061022600,Census Tract 226; New York County; New York,061,022600,5400,2216,58596
36061022700,Census Tract 227; New York County; New York,061,022700,5156,2726,61570
36061022800,Census Tract 228; New York County; New York,061,022800,6542,3882,85050
36061022900,Census Tract 229; New York County; New York,061,022900,9177,4708,58924
36061023000,Census Tract 230; New York County; New York,061,023000,8803,3805,34890
36061023100,Census Tract 231; New York County; New York,061,023100,6787,3925,64594
36061023200,Census Tract 232; New York County; New York,061,023200,9581,3680,35438
36061023300,Census Tract 233; New York County; New York,061,023300,7371,4019,86769
36061023400,Census Tract 234; New York County; New York,061,023400,4822,2456,71250
36061023501,Census Tract 235.01; New York County; New York,061,023501,7478,4271,77222
36061023502,Census Tract 235.02; New York County; New York,061,023502,1697,727,42267
36061023600,Census Tract 236; New York County; New York,061,023600,9640,3026,41941
36061023700,Census Tract 237; New York County; New York,061,023700,6738,3248,47333
36061023802,Census Tract 238.02; New York County; New York,061,023802,5340,1823,103068
36061023803,Census Tract 238.03; New York County; New York,061,023803,3368,1758,77070
36061023804,Census Tract 238.04; New York County; New York,061,023804,3138,1744,180677
36061023900,Census Tract 239; New York County; New York,061,023900,3127,1531,45036
36061024000,Census Tract 240; New York County; New York,061,024000,2316,321,0
36061024100,Census Tract 241; New York County; New York,061,024100,8197,3496,59054
36061024200,Census Tract 242; New York County; New York,061,024200,5535,1502,31691
36061024301,Census Tract 243.01; New York County; New York,061,024301,4965,2589,72576
36061024302,Census Tract 243.02; New York County; New York,061,024302,7570,2157,26301
36061024500,Census Tract 245; New York County; New York,061,024500,15353,6583,51190
36061024700,Census Tract 247; New York County; New York,061,024700,6768,3713,42446
36061024900,Census Tract 249; New York County; New York,061,024900,1057,639,87917
36061025100,Census Tract 251; New York County; New York,061,025100,2795,1042,35647
36061025300,Census Tract 253; New York County; New York,061,025300,11434,5002,67045
36061025500,Census Tract 255; New York County; New York,061,025500,5900,3007,64761
36061025700,Census Tract 257; New York County; New York,061,025700,4870,2716,85952
36061025900,Census Tract 259; New York County; New York,061,025900,4678,2659,76047
36061026100,Census Tract 261; New York County; New York,061,026100,12794,5245,49248
36061026300,Census Tract 263; New York County; New York,061,026300,8903,4284,56754
36061026500,Census Tract 265; New York County; New York,061,026500,8296,4026,98086
36061026700,Census Tract 267; New York County; New York,061,026700,2034,898,61667
36061026900,Census Tract 269; New York County; New York,061,026900,8989,4117,65743
36061027100,Census Tract 271; New York County; New York,061,027100,8364,4615,81890
36061027300,Census Tract 273; New York County; New York,061,027300,7877,4575,118346
36061027500,Census Tract 275; New York County; New York,061,027500,3132,1851,165000
36061027700,Census Tract 277; New York County; New York,061,027700,6944,2462,37681
36061027900,Census Tract 279; New York County; New York,061,027900,10796,5139,57671
36061028100,Census Tract 281; New York County; New York,061,028100,3278,1768,112969
36061028300,Census Tract 283; New York County; New York,061,028300,8275,3944,67417
36061028500,Census Tract 285; New York County; New York,061,028500,8403,3448,47148
36061028700,Census Tract 287; New York County; New York,061,028700,4116,2181,77648
36061029100,Census Tract 291; New York County; New York,061,029100,11967,5628,55231
36061029300,Census Tract 293; New York County; New York,061,029300,9361,3672,43866
36061029500,Census Tract 295; New York County; New York,061,029500,7716,4590,78209
36061029700,Census Tract 297; New York County; New York,061,029700,17,0,0
36061029900,Census Tract 299; New York County; New York,061,029900,3806,1194,29038
36061030300,Census Tract 303; New York County; New York,061,030300,4110,2263,85114
36061030700,Census Tract 307; New York County; New York,061,030700,3923,2383,113510
36061030900,Census Tract 309; New York County; New York,061,030900,11563,3705,44498
36061031100,Census Tract 311; New York County; New York,061,031100,0,0,0
