station_complex_id,name,borough,lat,lon,lines,num_lines,total_ridership,avg_ridership_per_hour,pop_density_tract,median_income,commuters_tract,population_500m,bus_stops_250m,bus_stops_500m
8,5 Av/59 St,Manhattan,40.764812,-73.97335,"N,R,W",3,72578,53.44,0.0,0,0,0,7,28
234,East Broadway,Manhattan,40.713715,-73.99017,F,1,72369,48.77,0.0,0,0,0,12,32
464,Vernon Blvd-Jackson Av,Queens,40.742626,-73.95358,7,1,71408,49.73,0.0,0,0,0,5,13
32,36 St,Brooklyn,40.655144,-74.00355,"D,N,R",3,71404,48.74,0.0,0,0,0,6,29
235,York St,Brooklyn,40.701397,-73.98675,F,1,71330,52.6,0.0,0,0,0,2,16
312,79 St,Manhattan,40.783936,-73.97992,1,1,70310,51.77,0.0,0,0,0,12,26
333,Wall St,Manhattan,40.70682,-74.0091,"2,3",2,69953,51.97,0.0,0,0,0,5,38
169,Canal St,Manhattan,40.720825,-74.005226,"A,C,E",3,68804,48.9,0.0,0,0,0,3,15
58,Coney Island-Stillwell Av,Brooklyn,40.577423,-73.98123,"D,F,N,Q",4,67677,45.09,0.0,0,0,0,12,27
328,WTC Cortlandt,Manhattan,40.711834,-74.01219,1,1,67203,49.52,0.0,0,0,0,8,52
320,23 St,Manhattan,40.74408,-73.99566,1,1,66103,46.85,0.0,0,0,0,2,15
1,Astoria-Ditmars Blvd,Queens,40.775036,-73.91203,"N,W",2,63806,44.28,0.0,0,0,0,3,9
439,125 St,Manhattan,40.807755,-73.945496,"2,3",2,63792,42.56,0.0,0,0,0,9,31
626,Franklin Av,Brooklyn,40.67068,-73.95813,"2,3,4,5",4,63651,43.93,0.0,0,0,0,5,26
307,116 St-Columbia University,Manhattan,40.80772,-73.96411,1,1,63582,49.1,0.0,0,0,0,6,28
409,Spring St,Manhattan,40.7223,-73.99714,6,1,63536,46.48,0.0,0,0,0,2,21
159,81 St-Museum of Natural History,Manhattan,40.781433,-73.972145,"C,B",2,63450,47.85,0.0,0,0,0,6,17
323,Christopher St-Sheridan Sq,Manhattan,40.73342,-74.00291,1,1,62614,45.84,0.0,0,0,0,9,28
413,Wall St,Manhattan,40.707558,-74.01186,"4,5",2,62469,47.47,0.0,0,0,0,14,51
461,Queensboro Plaza,Queens,40.750584,-73.9402,"7,N,W",3,62448,43.22,0.0,0,0,0,10,30
308,Cathedral Pkwy,Manhattan,40.803967,-73.96685,110 St,1,61991,45.58,0.0,0,0,0,9,31
127,DeKalb Av,Brooklyn,40.70381,-73.91843,L,1,61625,44.66,0.0,0,0,0,8,19
181,Utica Av,Brooklyn,40.679363,-73.93073,"A,C",2,61545,42.36,0.0,0,0,0,8,22
224,57 St,Manhattan,40.763973,-73.97745,F,1,61041,44.46,0.0,0,0,0,6,31
17,Prince St,Manhattan,40.72433,-73.9977,"R,W",2,60859,48.61,0.0,0,0,0,8,20
319,28 St,Manhattan,40.747215,-73.99336,1,1,60164,43.95,0.0,0,0,0,4,24
458,46 St-Bliss St,Queens,40.743134,-73.918434,7,1,60120,41.58,0.0,0,0,0,12,30
263,63 Dr-Rego Park,Queens,40.729847,-73.8616,"M,R",2,59200,40.52,0.0,0,0,0,9,21
608,4 Av,Brooklyn,40.67085,-73.988304,"F,G",2,58553,41.18,0.0,0,0,0,7,26
13,28 St,Manhattan,40.745495,-73.98869,"R,W",2,58413,44.39,0.0,0,0,0,7,40
35,59 St,Brooklyn,40.64136,-74.01788,"N,R",2,58398,41.13,0.0,0,0,0,6,24
309,103 St,Manhattan,40.799446,-73.968376,1,1,58068,41.84,0.0,0,0,0,11,28
3,30 Av,Queens,40.76678,-73.92148,"N,W",2,57729,41.03,0.0,0,0,0,9,17
271,Steinway St,Queens,40.756878,-73.92074,"M,R",2,57196,38.23,0.0,0,0,0,6,21
175,Hoyt-Schermerhorn Sts,Brooklyn,40.688484,-73.985,"A,C,G",3,56989,40.85,0.0,0,0,0,10,39
266,Elmhurst Av,Queens,40.742455,-73.88202,"M,R",2,56886,39.92,0.0,0,0,0,2,11
305,137 St-City College,Manhattan,40.822006,-73.953674,1,1,56158,38.52,0.0,0,0,0,9,22
168,Spring St,Manhattan,40.726227,-74.00374,"C,E",2,55924,43.86,0.0,0,0,0,6,20
453,82 St-Jackson Hts,Queens,40.747658,-73.8837,7,1,55055,38.05,0.0,0,0,0,8,24
324,Houston St,Manhattan,40.728252,-74.00536,1,1,55036,41.1,0.0,0,0,0,7,16
54,Sheepshead Bay,Brooklyn,40.586895,-73.954155,"B,Q",2,54955,37.87,0.0,0,0,0,7,30
4,Broadway,Queens,40.76182,-73.92551,"N,W",2,54671,38.86,0.0,0,0,0,8,19
160,72 St,Manhattan,40.775593,-73.97641,"C,B",2,53908,42.99,0.0,0,0,0,7,19
366,Parkchester,Bronx,40.833225,-73.86082,6,1,53383,36.36,0.0,0,0,0,10,21
158,86 St,Manhattan,40.78587,-73.96892,"C,B",2,53000,40.15,0.0,0,0,0,8,22
393,116 St,Manhattan,40.79863,-73.94162,6,1,52146,36.14,0.0,0,0,0,9,25
240,7 Av,Brooklyn,40.66627,-73.98031,"F,G",2,52098,39.23,0.0,0,0,0,9,19
71,8 Av,Brooklyn,40.635063,-74.01172,N,1,51742,37.44,0.0,0,0,0,8,16
38,86 St,Brooklyn,40.62269,-74.0284,R,1,51669,35.29,0.0,0,0,0,10,31
188,Euclid Av,Brooklyn,40.675377,-73.87211,"A,C",2,51634,35.44,0.0,0,0,0,7,25
97,Myrtle Av,Brooklyn,40.69721,-73.93565,"M,J,Z",3,51185,37.23,0.0,0,0,0,11,28
276,5 Av/53 St,Manhattan,40.760166,-73.97523,"E,M",2,50989,41.66,0.0,0,0,0,10,37
236,Bergen St,Brooklyn,40.686146,-73.99086,"F,G",2,50644,37.35,0.0,0,0,0,2,14
449,111 St,Queens,40.75173,-73.85533,7,1,50546,36.63,0.0,0,0,0,2,13
237,Carroll St,Brooklyn,40.6803,-73.99505,"F,G",2,49944,38.04,0.0,0,0,0,2,5
395,103 St,Manhattan,40.7906,-73.94748,6,1,49023,35.22,0.0,0,0,0,7,29
221,21 St-Queensbridge,Queens,40.754204,-73.94283,F,1,48303,34.93,0.0,0,0,0,11,26
2,Astoria Blvd,Queens,40.77026,-73.91785,"N,W",2,48194,35.49,0.0,0,0,0,5,16
283,Greenpoint Av,Brooklyn,40.731354,-73.95445,G,1,47670,38.95,0.0,0,0,0,10,30
147,175 St,Manhattan,40.84739,-73.939705,A,1,47472,32.99,0.0,0,0,0,7,23
222,Roosevelt Island,Manhattan,40.759144,-73.95326,F,1,47193,34.62,0.0,0,0,0,6,15
126,Jefferson St,Brooklyn,40.706608,-73.92291,L,1,46856,35.42,0.0,0,0,0,2,15
55,Brighton Beach,Brooklyn,40.57762,-73.96137,"B,Q",2,46641,34.09,0.0,0,0,0,6,19
603,149 St-Grand Concourse,Bronx,40.818375,-73.92735,"2,4,5",3,46437,31.46,0.0,0,0,0,5,14
173,High St,Brooklyn,40.699337,-73.99053,"A,C",2,46431,36.47,0.0,0,0,0,5,20
101,Marcy Av,Brooklyn,40.70836,-73.957756,"M,J,Z",3,45958,43.32,0.0,0,0,0,14,29
438,135 St,Manhattan,40.814228,-73.94077,"2,3",2,45875,31.38,0.0,0,0,0,6,21
301,181 St,Manhattan,40.849506,-73.93359,1,1,45384,35.79,0.0,0,0,0,15,36
